replication,seed,block_months,n_signals,placebo_activation_count,placebo_activation_rate,activation_gap
105,34324,12,192,103,0.5364583333333334,0.19270833333333326
106,34325,12,192,97,0.5052083333333334,0.22395833333333326
107,34326,12,192,95,0.4947916666666667,0.23437499999999994
108,34327,12,192,116,0.6041666666666666,0.125
109,34328,12,192,100,0.5208333333333334,0.20833333333333326
110,34329,12,192,104,0.5416666666666666,0.1875
111,34330,12,192,97,0.5052083333333334,0.22395833333333326
112,34331,12,192,103,0.5364583333333334,0.19270833333333326
113,34332,12,192,96,0.5,0.22916666666666663
114,34333,12,192,92,0.4791666666666667,0.24999999999999994
115,34334,12,192,100,0.5208333333333334,0.20833333333333326
116,34335,12,192,91,0.4739583333333333,0.2552083333333333
117,34336,12,192,92,0.4791666666666667,0.24999999999999994
118,34337,12,192,97,0.5052083333333334,0.22395833333333326
119,34338,12,192,95,0.4947916666666667,0.23437499999999994
120,34339,12,192,87,0.453125,0.27604166666666663
121,34340,12,192,106,0.5520833333333334,0.17708333333333326
122,34341,12,192,100,0.5208333333333334,0.20833333333333326
123,34342,12,192,97,0.5052083333333334,0.22395833333333326
124,34343,12,192,95,0.4947916666666667,0.23437499999999994
125,34344,12,192,95,0.4947916666666667,0.23437499999999994
126,34345,12,192,101,0.5260416666666666,0.203125
127,34346,12,192,95,0.4947916666666667,0.23437499999999994
128,34347,12,192,86,0.4479166666666667,0.28124999999999994
129,34348,12,192,104,0.5416666666666666,0.1875
130,34349,12,192,92,0.4791666666666667,0.24999999999999994
131,34350,12,192,98,0.5104166666666666,0.21875
132,34351,12,192,93,0.484375,0.24479166666666663
133,34352,12,192,100,0.5208333333333334,0.20833333333333326
134,34353,12,192,108,0.5625,0.16666666666666663
135,34354,12,192,97,0.5052083333333334,0.22395833333333326
136,34355,12,192,93,0.484375,0.24479166666666663
137,34356,12,192,94,0.4895833333333333,0.23958333333333331
138,34357,12,192,97,0.5052083333333334,0.22395833333333326
139,34358,12,192,115,0.5989583333333334,0.13020833333333326
140,34359,12,192,103,0.5364583333333334,0.19270833333333326
141,34360,12,192,95,0.4947916666666667,0.23437499999999994
142,34361,12,192,93,0.484375,0.24479166666666663
143,34362,12,192,95,0.4947916666666667,0.23437499999999994
144,34363,12,192,99,0.515625,0.21354166666666663
145,34364,12,192,96,0.5,0.22916666666666663
146,34365,12,192,89,0.4635416666666667,0.26562499999999994
147,34366,12,192,105,0.546875,0.18229166666666663
148,34367,12,192,100,0.5208333333333334,0.20833333333333326
149,34368,12,192,99,0.515625,0.21354166666666663
150,34369,12,192,100,0.5208333333333334,0.20833333333333326
151,34370,12,192,103,0.5364583333333334,0.19270833333333326
152,34371,12,192,98,0.5104166666666666,0.21875
153,34372,12,192,89,0.4635416666666667,0.26562499999999994
154,34373,12,192,96,0.5,0.22916666666666663
155,34374,12,192,93,0.484375,0.24479166666666663
156,34375,12,192,97,0.5052083333333334,0.22395833333333326
157,34376,12,192,92,0.4791666666666667,0.24999999999999994
158,34377,12,192,102,0.53125,0.19791666666666663
159,34378,12,192,91,0.4739583333333333,0.2552083333333333
160,34379,12,192,109,0.5677083333333334,0.16145833333333326
161,34380,12,192,92,0.4791666666666667,0.24999999999999994
162,34381,12,192,109,0.5677083333333334,0.16145833333333326
163,34382,12,192,96,0.5,0.22916666666666663
164,34383,12,192,96,0.5,0.22916666666666663
165,34384,12,192,100,0.5208333333333334,0.20833333333333326
166,34385,12,192,100,0.5208333333333334,0.20833333333333326
167,34386,12,192,88,0.4583333333333333,0.2708333333333333
168,34387,12,192,93,0.484375,0.24479166666666663
169,34388,12,192,101,0.5260416666666666,0.203125
170,34389,12,192,96,0.5,0.22916666666666663
171,34390,12,192,103,0.5364583333333334,0.19270833333333326
172,34391,12,192,103,0.5364583333333334,0.19270833333333326
173,34392,12,192,90,0.46875,0.26041666666666663
174,34393,12,192,94,0.4895833333333333,0.23958333333333331
175,34394,12,192,92,0.4791666666666667,0.24999999999999994
176,34395,12,192,92,0.4791666666666667,0.24999999999999994
177,34396,12,192,95,0.4947916666666667,0.23437499999999994
178,34397,12,192,96,0.5,0.22916666666666663
179,34398,12,192,99,0.515625,0.21354166666666663
180,34399,12,192,94,0.4895833333333333,0.23958333333333331
181,34400,12,192,103,0.5364583333333334,0.19270833333333326
182,34401,12,192,88,0.4583333333333333,0.2708333333333333
183,34402,12,192,88,0.4583333333333333,0.2708333333333333
184,34403,12,192,102,0.53125,0.19791666666666663
185,34404,12,192,102,0.53125,0.19791666666666663
186,34405,12,192,91,0.4739583333333333,0.2552083333333333
187,34406,12,192,93,0.484375,0.24479166666666663
188,34407,12,192,95,0.4947916666666667,0.23437499999999994
189,34408,12,192,96,0.5,0.22916666666666663
190,34409,12,192,94,0.4895833333333333,0.23958333333333331
191,34410,12,192,94,0.4895833333333333,0.23958333333333331
192,34411,12,192,89,0.4635416666666667,0.26562499999999994
193,34412,12,192,106,0.5520833333333334,0.17708333333333326
194,34413,12,192,97,0.5052083333333334,0.22395833333333326
195,34414,12,192,96,0.5,0.22916666666666663
196,34415,12,192,99,0.515625,0.21354166666666663
197,34416,12,192,90,0.46875,0.26041666666666663
198,34417,12,192,94,0.4895833333333333,0.23958333333333331
199,34418,12,192,104,0.5416666666666666,0.1875
