signal,decision,stop_index,stop_date,stop_time_years,evidence_at_stop,posterior_mean_at_stop,posterior_dead_at_stop,calibration_months,validation_months,monthly_sigma,validation_increment_mean,validation_increment_variance_over_dt,validation_lag1_autocorr,holdout_months,holdout_mean_return_percent,holdout_t_stat,decision_label,first_date,last_date
CBOperProf_signflip,1,69,1985-10-31,5.75,-3.5501642156090636,-0.1262666179875913,0.629809177758612,120,240,4.221844130805885,-0.012731771279428077,0.577297698149236,-0.008611424367417329,120,0.5424892501297857,2.155900145842685,activate,1970-01-30,2020-12-31
CF_signflip,-1,61,1985-02-28,5.083333333333333,-0.6507755831743423,-0.022494737847198104,0.7678530073403285,120,240,3.5746858364354117,0.04021088951664474,1.298527649069474,-0.17000292012372523,120,0.4810311875795065,1.1357786641091359,reject,1970-01-30,2020-12-31
Cash_signflip,-1,46,1985-08-30,3.833333333333333,-0.061191766931453784,-0.0021895440731783955,0.7566735358973246,120,240,3.0586751198687523,-0.0033819144789512716,3.7685220489899818,-0.15879243054021108,120,0.6513413602395014,2.566011306288857,reject,1971-10-29,2020-12-31
CashProd_signflip,1,57,1984-10-31,4.75,-3.4565443265130638,-0.12822624401630672,0.6201852540157291,120,240,3.4014503892093972,-0.013543152827048521,0.9227559481502482,-0.1236166845112275,120,0.8392146912427331,3.9667757505328414,activate,1970-01-30,2020-12-31
ChAssetTurnover_signflip,-1,98,1988-03-31,8.166666666666666,1.6456073988005513,0.047677375315944154,0.7808010162386432,120,240,1.3689184571608162,0.013891061635901808,0.6102320248216843,0.022452603722212132,120,0.2735793826279328,3.128845046694513,reject,1970-01-30,2020-12-31
ChEQ_signflip,-1,49,1984-02-29,4.083333333333333,-0.30665366987757137,-0.010799670950893077,0.75892831582968,120,240,2.865645995236387,0.027642949931823983,1.0953804407167584,0.1324139086646649,120,0.3037440164288148,1.0233416820598695,reject,1970-01-30,2020-12-31
ChForecastAccrual_signflip,-1,53,1990-12-31,4.416666666666666,-0.02077244364628239,-0.0007059422616218572,0.7646812065297885,120,240,1.1683239678088893,0.02286555266277484,1.4035974980081656,-0.06121498715997736,120,0.2385420269136418,1.987098478062101,reject,1976-07-30,2020-06-30
ChInv_signflip,-1,46,1983-11-30,3.833333333333333,-0.024019386973503865,-0.000729832251679656,0.7567177172445682,120,240,2.3429346925733396,-0.025029446327371314,1.1470439129621826,0.029028055791259375,120,0.7393185669587449,3.221379637896092,reject,1970-01-30,2020-12-31
ChInvIA_signflip,-1,75,1986-04-30,6.25,-0.8331976658530004,-0.026815817612286075,0.7797200727985589,120,240,1.3433965428144203,-0.0009582272976271659,1.3165766688273113,0.002661305609911956,120,0.41715340691543523,2.966629482841421,reject,1970-01-30,2020-12-31
ChNAnalyst_signflip,-1,43,1990-06-29,3.583333333333333,-0.040434193125584425,-0.001480485985445347,0.7532325962618014,120,240,5.436290523977983,0.056022271617270365,1.3088827996106562,0.028447851592525823,120,0.9209229302148642,2.1851418614537743,reject,1976-05-28,2020-06-30
ChNNCOA_signflip,-1,42,1983-07-29,3.5,-0.0028433140476939456,0.0,0.7520914244467742,120,240,1.1156725808537609,0.008359189401828145,1.1521699380185788,-0.018377048465901553,120,0.3505329475662118,3.38885153115137,reject,1970-01-30,2020-12-31
ChNWC_signflip,-1,45,1983-10-31,3.75,-0.0859471971106058,-0.0029332754016673027,0.7554821675226797,120,240,1.1591555675171012,0.011982675345154709,0.44522717543673085,0.01448524446018841,120,0.2856740020473127,4.212313572637723,reject,1970-01-30,2020-12-31
ChTax_signflip,1,90,1987-07-31,7.5,3.3706201425573403,0.10930318518049481,0.6733718628418385,120,240,3.2371574856354224,0.017147498105260107,0.5599481810757438,0.014638098235126377,120,1.189665699719763,7.315033046279064,activate,1970-01-30,2020-12-31
CitationsRD_signflip,-1,55,1992-02-28,4.583333333333333,0.5602550128235935,0.019623868353761897,0.7627308338329682,120,240,1.697872912500198,0.018595454561160074,1.155498817628568,-0.0010675012602617971,120,0.38340019070720005,1.9828331035897833,reject,1977-07-29,2011-06-30
CompEquIss_signflip,1,58,1984-11-30,4.833333333333333,-3.702447187786899,-0.13747648875189894,0.6021847892763952,120,240,1.9670495479390404,0.0005180574260219672,1.3989403290690865,0.002346510184853555,120,0.4429740366941638,2.486598567473278,activate,1970-01-30,2020-12-31
CompositeDebtIssuance_signflip,-1,46,1983-11-30,3.833333333333333,-0.15872158159859145,-0.005839651164221957,0.7563698331302164,120,240,1.5474642670720182,0.0013357443097292792,0.6180069910758057,0.11130726249705293,120,0.3923141118449358,3.31366139406288,reject,1970-01-30,2020-12-31
ConvDebt_signflip,-1,58,1984-11-30,4.833333333333333,-0.5221633000459287,-0.017956907905652936,0.7666790851786115,120,240,1.140954283429141,-0.011080730026040887,0.9533718160215954,-0.048966768718359456,120,0.22925043452206081,2.515097830139024,reject,1970-01-30,2020-12-31
CoskewACX_signflip,-1,45,1983-10-31,3.75,-0.0570662995070878,-0.002199915490193126,0.7555209488081484,120,240,1.9648037191429013,-0.00945226422289491,1.4754653977882681,0.03020312231811386,120,0.23170562816946602,0.9533622577834726,reject,1970-01-30,2020-12-31
Coskewness_signflip,1,12,1981-01-30,1.0,-3.7958873461170413,-0.16622363945226876,0.5230759627865353,120,240,2.57615579387537,-0.02199777441004896,0.8700577643240184,0.04967322282205652,120,0.1902526200653422,1.0057567298530734,activate,1970-01-30,2020-12-31
CredRatDG_signflip,-1,45,1999-11-30,3.75,-0.10703748432891308,-0.0036666822262213933,0.7554323077315607,120,240,3.2638140930597235,-0.0491916420560239,1.9304221214446267,0.1354837095409981,120,0.5938305843126105,1.2338926097629883,reject,1986-02-28,2017-01-31
CustomerMomentum_signflip,-1,68,1993-03-31,5.666666666666666,-0.5889384568748317,-0.01909583166479429,0.7768281812604808,120,240,5.123311108899752,0.004492428066945209,1.6008870334482017,-0.2196219444869217,120,1.0520292442553234,1.4752119003117068,reject,1977-07-29,2020-12-31
DebtIssuance_signflip,-1,42,1985-07-31,3.5,-0.031071789813348794,-0.0014874667005163322,0.7520690506752556,120,240,1.0538584763656142,-0.004783175031395597,1.6177905761554128,0.01827086036286104,120,0.36752386537676834,4.680850322798575,reject,1972-01-31,2020-12-31
DelBreadth_signflip,-1,48,1994-07-29,4.0,0.1729716624973835,0.006507999644315449,0.7585726226147886,120,240,2.6267288395266095,-0.061869822330270705,4.349347618150754,-0.21826568783444625,120,1.113900704091374,1.7948931587117034,reject,1980-07-31,2020-01-31
DelCOA_signflip,1,39,1983-04-29,3.25,-3.8277397076461805,-0.15248795781369617,0.5631960041452359,120,240,2.0913230988984193,-0.004896641980859239,0.9196360878474609,0.021767656681078745,120,0.5394587285153364,3.0155580679034806,activate,1970-01-30,2020-12-31
DelCOL_signflip,1,75,1986-04-30,6.25,-3.400877451952023,-0.11708475858235876,0.6509062253064997,120,240,1.7701775634258923,-0.010835103707725207,0.8885821862943278,-0.10664043291167119,120,0.4066706674476361,2.9446790919218295,activate,1970-01-30,2020-12-31
DelEqu_signflip,1,72,1986-01-31,6.0,-3.4063603601034345,-0.11851773115219737,0.6466337494565766,120,240,2.9957890181934776,-0.04445411267991321,1.1159419138200597,-0.14506896053855858,120,0.6477252407086165,2.1767983397126462,activate,1970-01-30,2020-12-31
DelFINL_signflip,-1,45,1983-10-31,3.75,0.16104871588536213,0.005867301228083301,0.755216272843299,120,240,1.4509369632438776,-0.04526386303412482,1.0536249087905978,0.04067105558713656,120,0.819386642467283,7.00957393749738,reject,1970-01-30,2020-12-31
DelLTI_signflip,-1,56,1984-09-28,4.666666666666666,0.4468747948747426,0.015331555152061173,0.7654594230670222,120,240,1.019230297671863,0.02428678116043342,1.7548464823257728,0.04572884762229077,120,0.14468989563026857,1.2403965740158298,reject,1970-01-30,2020-12-31
DelNetFin_signflip,1,31,1982-08-31,2.583333333333333,-3.7443127758248975,-0.1533704704827187,0.557736153989378,120,240,1.3039232668627714,-0.001462790971463456,1.3827109733593603,-0.020705023941120705,120,0.7427711578977203,6.253895360035368,activate,1970-01-30,2020-12-31
DivInit_signflip,-1,42,1983-07-29,3.5,0.059046511824333014,0.0022312286366337752,0.7520410840743628,120,240,1.7188889205886453,-0.002470142619738728,1.763646752622718,0.07101103441846195,120,0.8882757288484417,4.786785970250627,reject,1970-01-30,2020-12-31
